,Type,Location,Title,Number of Guest,Number of Bedroom,Studio,Number of Bed,Number of Bath,Self Check-in,Air Conditioning,Wifi,Washer,Kitchen,Breakfast,Pets allowed,Free parking,Elevator,Gym,Indoor fireplace,Pool,Rate (out of 5),Reviews,Price (per Night),Link
0,Private room,Aberdeen,Home away from Home,2,1,No,1,1.5,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,4.62,13,27,https://www.airbnb.com/rooms/28205873?previous_page_section_name=1000&federated_search_id=242bba7f-4e94-4b7d-b2b7-d3fcbb4fb870
1,Entire loft,Baltimore,Cheerful 2 bedroom Apt near Univ of MD Hospital,3,2,No,3,1,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,5.0,6,60,https://www.airbnb.com/rooms/43312082?previous_page_section_name=1000&federated_search_id=242bba7f-4e94-4b7d-b2b7-d3fcbb4fb870
2,Private room,Gaithersburg,NIST Cozy Basement,2,1,No,1,1.5,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,4.70,21,35,https://www.airbnb.com/rooms/3574588?previous_page_section_name=1000&federated_search_id=242bba7f-4e94-4b7d-b2b7-d3fcbb4fb870
3,Private room,Hanover,Quiet and Unique Stay-Private Luxury Room near BWI,2,1,No,1,1,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,5.0,3,33,https://www.airbnb.com/rooms/45727036?previous_page_section_name=1000&federated_search_id=242bba7f-4e94-4b7d-b2b7-d3fcbb4fb870
4,Entire apartment,Severn,Fun and Cozy,2,1,No,1,1,No,Yes,Yes,No,No,No,No,No,No,No,No,No,4.81,58,51,https://www.airbnb.com/rooms/40869810?previous_page_section_name=1000&federated_search_id=242bba7f-4e94-4b7d-b2b7-d3fcbb4fb870
5,Entire house,Silver Spring,Newly Remodeled & furnished basement apartment.,2,1,No,1,1,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,NaN,NaN,32,https://www.airbnb.com/rooms/46006112?previous_page_section_name=1000&federated_search_id=242bba7f-4e94-4b7d-b2b7-d3fcbb4fb870
6,Private room,Gambrills,Home Away from Home,1,1,No,1,1,No,Yes,Yes,No,No,No,No,No,No,No,No,No,4.97,301,32,https://www.airbnb.com/rooms/6378209?previous_page_section_name=1000&federated_search_id=242bba7f-4e94-4b7d-b2b7-d3fcbb4fb870
7,Entire condominium,Baltimore,Cozy Private Condo in Mt. Vernon w/ Rooftop,2,1,No,1,1,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,4.80,209,58,https://www.airbnb.com/rooms/29876662?previous_page_section_name=1000&federated_search_id=242bba7f-4e94-4b7d-b2b7-d3fcbb4fb870
8,Entire apartment,Reisterstown,Barn Apt on Tranquil Historic Farm--Amazing Views,4,1,No,2,1.5,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,4.98,53,129,https://www.airbnb.com/rooms/19448856?previous_page_section_name=1000&federated_search_id=242bba7f-4e94-4b7d-b2b7-d3fcbb4fb870
9,Private room,Gaithersburg,NIST Room,1,1,No,1,1.5,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,4.82,11,28,https://www.airbnb.com/rooms/4144360?previous_page_section_name=1000&federated_search_id=242bba7f-4e94-4b7d-b2b7-d3fcbb4fb870
10,Private room,Arnold,Private bed w/bath on lower level.  Park/kit/laun.,2,1,No,1,1,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,4.94,16,24,https://www.airbnb.com/rooms/34819407?previous_page_section_name=1000&federated_search_id=242bba7f-4e94-4b7d-b2b7-d3fcbb4fb870
11,Private room,Gaithersburg,Modern Private Room Gaithersburg-Kentlands area,1,1,No,1,1,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,4.92,38,33,https://www.airbnb.com/rooms/28777208?previous_page_section_name=1000&federated_search_id=242bba7f-4e94-4b7d-b2b7-d3fcbb4fb870
12,Private room,Capitol Heights,Long Term Private Bedroom & Bath close to DC,1,1,No,1,1.5,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,4.97,263,32,https://www.airbnb.com/rooms/16257397?previous_page_section_name=1000&federated_search_id=242bba7f-4e94-4b7d-b2b7-d3fcbb4fb870
13,Entire loft,Woodlawn,Efficiency Loft Apartment in Convenient Location,1,1,No,0,1,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,NaN,NaN,28,https://www.airbnb.com/rooms/41840495?previous_page_section_name=1000&federated_search_id=242bba7f-4e94-4b7d-b2b7-d3fcbb4fb870
