,Type,Location,Title,Number of Guest,Number of Bedroom,Studio,Number of Bed,Number of Bath,Self Check-in,Air Conditioning,Wifi,Washer,Kitchen,Breakfast,Pets allowed,Free parking,Elevator,Gym,Indoor fireplace,Pool,Rate (out of 5),Reviews,Price (per Night),Link
0,Entire cottage,Covington,The Earlehurst Cottage at Beaverdam Falls,4,2,No,3,1,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,4.67,3,185,https://www.airbnb.com/rooms/45578044?previous_page_section_name=1000&federated_search_id=e7c81cef-058a-4de9-bcb4-e92711359290
1,Entire cabin,Fancy Gap,"NEW! Cozy Mountain-Top VA Cabin: Hike, Bike & Fish",6,3,No,3,2,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,NaN,NaN,199,https://www.airbnb.com/rooms/46117125?previous_page_section_name=1000&federated_search_id=e7c81cef-058a-4de9-bcb4-e92711359290
2,Entire bungalow,Culpeper,Chic and comfortable downtown home. Many extras!,4,2,No,3,1,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,4.97,154,108,https://www.airbnb.com/rooms/29062818?previous_page_section_name=1000&federated_search_id=e7c81cef-058a-4de9-bcb4-e92711359290
3,Entire guesthouse,Lexington,Spectacular Mountain views,2,1,No,1,1,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,5.0,165,189,https://www.airbnb.com/rooms/7891727?previous_page_section_name=1000&federated_search_id=e7c81cef-058a-4de9-bcb4-e92711359290
4,Farm stay,Thaxton,Cozy Farmhouse w/ Year-Round Hot Tub & Fresh Eggs,8,3,No,6,2,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,4.94,99,159,https://www.airbnb.com/rooms/23415347?previous_page_section_name=1000&federated_search_id=e7c81cef-058a-4de9-bcb4-e92711359290
5,Entire cabin,Luray,Foggy River Chalet Shenandoah River,6,2,No,3,2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,4.82,89,153,https://www.airbnb.com/rooms/6853780?previous_page_section_name=1000&federated_search_id=e7c81cef-058a-4de9-bcb4-e92711359290
6,Entire cottage,Afton,Escape the City & Enjoy the Farm Life!W/fiberWiFi,2,1,No,1,1,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,4.92,115,166,https://www.airbnb.com/rooms/37635814?previous_page_section_name=1000&federated_search_id=e7c81cef-058a-4de9-bcb4-e92711359290
7,Entire house,Rice,Cozy Goat Farm with Fast WiFi by High Bridge Trail,8,2,No,4,1,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,4.81,80,92,https://www.airbnb.com/rooms/32818627?previous_page_section_name=1000&federated_search_id=e7c81cef-058a-4de9-bcb4-e92711359290
8,Entire cottage,Crozet,Luxurious Cottage in Wine Country,4,NaN,Yes,2,1,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,4.99,84,118,https://www.airbnb.com/rooms/39293676?previous_page_section_name=1000&federated_search_id=e7c81cef-058a-4de9-bcb4-e92711359290
9,Private room,Round Hill,Comfy Blue Ridge Mountains Log Cabin (Ravenswood),2,1,No,1,1,No,No,Yes,No,No,No,No,Yes,No,No,No,No,4.87,52,68,https://www.airbnb.com/rooms/41732319?previous_page_section_name=1000&federated_search_id=e7c81cef-058a-4de9-bcb4-e92711359290
10,Entire cottage,Port Haywood,Modern Beachfront Cottage with Endless Bay Views,6,2,No,6,1,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,4.89,37,275,https://www.airbnb.com/rooms/24496413?previous_page_section_name=1000&federated_search_id=e7c81cef-058a-4de9-bcb4-e92711359290
11,Entire cabin,Big Island,Private Cabin,6,3,No,4,2.5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,4.93,28,155,https://www.airbnb.com/rooms/42278269?previous_page_section_name=1000&federated_search_id=e7c81cef-058a-4de9-bcb4-e92711359290
12,Entire house,Bluemont,The Country French Cottage at High Meadows Estate,4,2,No,2,1,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,4.96,77,151,https://www.airbnb.com/rooms/25803760?previous_page_section_name=1000&federated_search_id=e7c81cef-058a-4de9-bcb4-e92711359290
