,Type,Location,Title,Number of Guest,Number of Bedroom,Studio,Number of Bed,Number of Bath,Self Check-in,Air Conditioning,Wifi,Washer,Kitchen,Breakfast,Pets allowed,Free parking,Elevator,Gym,Indoor fireplace,Pool,Rate (out of 5),Reviews,Price (per Night),Link
0,Entire house,Washington,Capitol Hill luxury English basment,4,1,No,2,1,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,4.91,440,107,https://www.airbnb.com/rooms/3317645?previous_page_section_name=1000&federated_search_id=f3b67032-6382-4d67-980a-93c295685976
1,Entire house,Washington,Garden of Eden PRIME,4,2,No,2,2.5,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,4.71,7,139,https://www.airbnb.com/rooms/45097884?previous_page_section_name=1000&federated_search_id=f3b67032-6382-4d67-980a-93c295685976
2,Entire apartment,Washington,Gorgeous Two Bedroom Apartment in the Heart of the City.,4,2,No,2,1,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.97,231,107,https://www.airbnb.com/rooms/plus/19011416?previous_page_section_name=1000&federated_search_id=f3b67032-6382-4d67-980a-93c295685976
3,Room,boutique hotel in Washington,Capitol Hill Bed&Breakfast- Double Twin w/bathroom,2,1,No,2,1,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,3.75,4,61,https://www.airbnb.com/rooms/45256817?previous_page_section_name=1000&federated_search_id=f3b67032-6382-4d67-980a-93c295685976
4,Entire condominium,Washington,LOCATION - Capitol & Supreme Court Adjacent Apt!,4,NaN,Yes,2,1,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.97,30,104,https://www.airbnb.com/rooms/42768807?previous_page_section_name=1000&federated_search_id=f3b67032-6382-4d67-980a-93c295685976
5,Entire apartment,Washington,Modern Green Home in the best walking neighborhood,4,2,No,2,2,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,5.0,61,236,https://www.airbnb.com/rooms/36037856?previous_page_section_name=1000&federated_search_id=f3b67032-6382-4d67-980a-93c295685976
6,Hotel beds,Washington,Generator - DC Bed In 4 Bed Dorm,1,1,No,1,1,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,4.82,12,45,https://www.airbnb.com/rooms/42256352?previous_page_section_name=1000&federated_search_id=f3b67032-6382-4d67-980a-93c295685976
7,Entire townhouse,Washington,Cozy Capitol Hill home near metro,3,1,No,1,1,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,4.83,401,93,https://www.airbnb.com/rooms/246413?previous_page_section_name=1000&federated_search_id=f3b67032-6382-4d67-980a-93c295685976
8,Private room,Washington,Wonderful private room in Logan Circle (14 St NW),2,1,No,1,1,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,NaN,NaN,80,https://www.airbnb.com/rooms/42591642?previous_page_section_name=1000&federated_search_id=f3b67032-6382-4d67-980a-93c295685976
9,Entire house,Washington,1-bedroom basement Apartment in NE Washington DC.,2,1,No,1,1,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.33,88,57,https://www.airbnb.com/rooms/40280711?previous_page_section_name=1000&federated_search_id=f3b67032-6382-4d67-980a-93c295685976
