,Type,Location,Title,Number of Guest,Number of Bedroom,Studio,Number of Bed,Number of Bath,Self Check-in,Air Conditioning,Wifi,Washer,Kitchen,Breakfast,Pets allowed,Free parking,Elevator,Gym,Indoor fireplace,Pool,Rate (out of 5),Reviews,Price (per Night),Link
0,Entire cabin,Oakland,Winter is Coming,10,3,No,3,3,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.90,177,225,https://www.airbnb.com/rooms/22015858?previous_page_section_name=1000&federated_search_id=a85bdb37-5789-448c-9056-9eae4c45daa9
1,Entire cottage,North Beach,Waterfront Cottage Near Herrington and North Beach,7,2,No,2,2,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.96,86,181,https://www.airbnb.com/rooms/22309864?previous_page_section_name=1000&federated_search_id=a85bdb37-5789-448c-9056-9eae4c45daa9
2,Entire cabin,Middletown,Serene Log House Nestled Among the Battlefields,4,1,No,2,1,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,4.57,44,99,https://www.airbnb.com/rooms/27829748?previous_page_section_name=1000&federated_search_id=a85bdb37-5789-448c-9056-9eae4c45daa9
3,Farm stay,Centreville,Lands End at Press House Point,8,3,No,7,3.5,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,5.0,14,500,https://www.airbnb.com/rooms/44143495?previous_page_section_name=1000&federated_search_id=a85bdb37-5789-448c-9056-9eae4c45daa9
4,Entire condominium,Ocean City,Light and Airy Oceanfront Condo with Balcony,4,1,No,2,1.5,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.87,323,89,https://www.airbnb.com/rooms/19267740?previous_page_section_name=1000&federated_search_id=a85bdb37-5789-448c-9056-9eae4c45daa9
5,Entire apartment,Mount Rainier,NE 1 bedroom style & comfort minutes to DC,2,1,No,1,1,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,5.0,5,79,https://www.airbnb.com/rooms/31883221?previous_page_section_name=1000&federated_search_id=a85bdb37-5789-448c-9056-9eae4c45daa9
6,Entire cottage,Oakland,Raccoon Retreat @ Yough Mountain Resort,6,2,No,3,1,No,No,No,No,Yes,No,No,Yes,No,No,No,No,4.73,40,199,https://www.airbnb.com/rooms/15284531?previous_page_section_name=1000&federated_search_id=a85bdb37-5789-448c-9056-9eae4c45daa9
7,Entire apartment,Cambridge,Sunset Breezes - a quiet retreat,8,3,No,5,2,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,5.0,35,200,https://www.airbnb.com/rooms/42972065?previous_page_section_name=1000&federated_search_id=a85bdb37-5789-448c-9056-9eae4c45daa9
8,Entire guest suite,Catonsville,Cozy Catonsville Suite,2,1,No,1,1,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.90,129,50,https://www.airbnb.com/rooms/29596923?previous_page_section_name=1000&federated_search_id=a85bdb37-5789-448c-9056-9eae4c45daa9
9,Entire guesthouse,McHenry,"JR'S COTTAGE, brand new!",4,1,No,2,1,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.96,141,170,https://www.airbnb.com/rooms/14892542?previous_page_section_name=1000&federated_search_id=a85bdb37-5789-448c-9056-9eae4c45daa9
10,Entire condominium,Ocean City,"Romantic oceanfront condo w/private balcony, beach access and stunning views!",4,1,No,2,1,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.84,25,148,https://www.airbnb.com/rooms/40750772?previous_page_section_name=1000&federated_search_id=a85bdb37-5789-448c-9056-9eae4c45daa9
11,Entire guesthouse,Fort Washington,"Urban Cottage,MD",4,1,No,2,1,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.95,285,103,https://www.airbnb.com/rooms/13925828?previous_page_section_name=1000&federated_search_id=a85bdb37-5789-448c-9056-9eae4c45daa9
12,Entire guest suite,Smithsburg,"A Charming Peaceful Retreat in Cavetown, Maryland",2,1,No,1,1,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.94,47,68,https://www.airbnb.com/rooms/32499013?previous_page_section_name=1000&federated_search_id=a85bdb37-5789-448c-9056-9eae4c45daa9
13,Entire guesthouse,Annapolis,Chesapeake Birdhouse Studio,2,1,No,1,1,No,Yes,Yes,No,No,No,No,No,No,No,No,No,4.92,132,135,https://www.airbnb.com/rooms/23974679?previous_page_section_name=1000&federated_search_id=a85bdb37-5789-448c-9056-9eae4c45daa9
14,Entire house,North East,*SHELTER COVE * 3BR home by 2 marinas * Boat Slip*,6,3,No,4,3.5,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,5.0,22,200,https://www.airbnb.com/rooms/39858364?previous_page_section_name=1000&federated_search_id=a85bdb37-5789-448c-9056-9eae4c45daa9
15,Entire house,Tilghman Island,La Petite Retreat on The Chesapeake Bay,6,3,No,4,3,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.91,56,174,https://www.airbnb.com/rooms/16754235?previous_page_section_name=1000&federated_search_id=a85bdb37-5789-448c-9056-9eae4c45daa9
16,Entire cottage,Tracys Landing,"Chesapeake Bay Beachfront Cottage, A Hidden Secret",6,2,No,4,1,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.98,143,261,https://www.airbnb.com/rooms/5850229?previous_page_section_name=1000&federated_search_id=a85bdb37-5789-448c-9056-9eae4c45daa9
17,Yurt,Knoxville,"NEW! ""Sage"" the Glamping Tent",2,1,No,1,1,No,No,No,No,No,No,No,Yes,No,No,No,No,5.0,24,148,https://www.airbnb.com/rooms/43756635?previous_page_section_name=1000&federated_search_id=a85bdb37-5789-448c-9056-9eae4c45daa9
18,Entire apartment,Annapolis,Wall to Wall Cool- Filled with Original Art and Sculpture,4,1,No,2,1,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.93,232,90,https://www.airbnb.com/rooms/plus/18460421?previous_page_section_name=1000&federated_search_id=a85bdb37-5789-448c-9056-9eae4c45daa9
19,Farm stay,Cambridge,"Blackwater ""She Shed"" Tiny House",2,1,No,0,1,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,4.33,3,65,https://www.airbnb.com/rooms/45589584?previous_page_section_name=1000&federated_search_id=a85bdb37-5789-448c-9056-9eae4c45daa9
