,Type,Location,Title,Number of Guest,Number of Bedroom,Studio,Number of Bed,Number of Bath,Self Check-in,Air Conditioning,Wifi,Washer,Kitchen,Breakfast,Pets allowed,Free parking,Elevator,Gym,Indoor fireplace,Pool,Rate (out of 5),Reviews,Price (per Night),Link
0,Entire cabin,Earlysville,Cozy Meadowbrook Cabin on 140 acres,5,1,No,1,1.5,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,5.0,50,231,https://www.airbnb.com/rooms/18207421?previous_page_section_name=1000&federated_search_id=78a690f2-c38e-4a95-ad6e-66508338d596
1,Tiny house,Fort Valley,Tiny Cabin Retreat @ Shenandoah Meadows,4,NaN,Yes,2,1,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,4.92,50,93,https://www.airbnb.com/rooms/42217062?previous_page_section_name=1000&federated_search_id=78a690f2-c38e-4a95-ad6e-66508338d596
2,Entire cabin,Monroe,Sunside farm.,2,1,No,1,1,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,4.95,63,83,https://www.airbnb.com/rooms/13979432?previous_page_section_name=1000&federated_search_id=78a690f2-c38e-4a95-ad6e-66508338d596
3,Castle,Stanardsville,Castle Suite (Safety Protocol Listed Below),2,1,No,1,1,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,4.71,284,76,https://www.airbnb.com/rooms/11298190?previous_page_section_name=1000&federated_search_id=78a690f2-c38e-4a95-ad6e-66508338d596
4,Entire cabin,Stanardsville,Sunrise Cabin,2,1,No,1,1,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,5.0,44,149,https://www.airbnb.com/rooms/39393535?previous_page_section_name=1000&federated_search_id=78a690f2-c38e-4a95-ad6e-66508338d596
5,Entire house,Spotsylvania Courthouse,The Post Office,2,1,No,1,1,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,4.94,124,181,https://www.airbnb.com/rooms/16629936?previous_page_section_name=1000&federated_search_id=78a690f2-c38e-4a95-ad6e-66508338d596
6,Entire cabin,Rileyville,Overlook Cabin,4,2,No,2,2,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,4.92,48,199,https://www.airbnb.com/rooms/25291924?previous_page_section_name=1000&federated_search_id=78a690f2-c38e-4a95-ad6e-66508338d596
7,Farm stay,Monterey,Best views in Highland County !,6,1,No,2,1,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,4.99,176,125,https://www.airbnb.com/rooms/17545248?previous_page_section_name=1000&federated_search_id=78a690f2-c38e-4a95-ad6e-66508338d596
8,Entire house,Stanardsville,Zen River Retreat,4,1,No,1,2,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,4.65,37,204,https://www.airbnb.com/rooms/44350313?previous_page_section_name=1000&federated_search_id=78a690f2-c38e-4a95-ad6e-66508338d596
9,Entire cabin,Rileyville,"Secluded Log Cabin, Amazing Views, Hot Tub & Wifi!",8,3,No,4,2,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,4.64,170,201,https://www.airbnb.com/rooms/17434030?previous_page_section_name=1000&federated_search_id=78a690f2-c38e-4a95-ad6e-66508338d596
