,Type,Location,Title,Number of Guest,Number of Bedroom,Studio,Number of Bed,Number of Bath,Self Check-in,Air Conditioning,Wifi,Washer,Kitchen,Breakfast,Pets allowed,Free parking,Elevator,Gym,Indoor fireplace,Pool,Rate (out of 5),Reviews,Price (per Night),Link
0,Private room,Washington,Large cozy room on RhodeIsland Ave nw,1,1,No,0,1,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,NaN,NaN,32,https://www.airbnb.com/rooms/45504511?previous_page_section_name=1000&federated_search_id=f542776d-2a01-4ede-87dd-33844b8fb152
1,Private room,Washington,Location...Location...(Metro 2 blocks),2,1,No,1,1.5,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,4.75,217,47,https://www.airbnb.com/rooms/8397296?previous_page_section_name=1000&federated_search_id=f542776d-2a01-4ede-87dd-33844b8fb152
2,Private room,Washington,Garden of Eden 1,1,3,No,0,2,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.50,9,30,https://www.airbnb.com/rooms/26397823?previous_page_section_name=1000&federated_search_id=f542776d-2a01-4ede-87dd-33844b8fb152
3,Entire apartment,Washington,Cozy Gateway in the Historical Logan Circle / Shaw,2,1,No,3,1,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,5.0,7,85,https://www.airbnb.com/rooms/45770135?previous_page_section_name=1000&federated_search_id=f542776d-2a01-4ede-87dd-33844b8fb152
4,Private room,Washington,"Small Cozy Room in Brookland, N.E.",1,1,No,1,1,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,4.87,127,24,https://www.airbnb.com/rooms/19737092?previous_page_section_name=1000&federated_search_id=f542776d-2a01-4ede-87dd-33844b8fb152
5,Entire apartment,Washington,A calm get away in the 'village within a city.',4,1,No,1,1,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,NaN,NaN,75,https://www.airbnb.com/rooms/36945683?previous_page_section_name=1000&federated_search_id=f542776d-2a01-4ede-87dd-33844b8fb152
6,Entire serviced apartment,Washington,Live + Work + Stay + Easy | Studio in Washington,1,NaN,Yes,1,1,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,NaN,NaN,100,https://www.airbnb.com/rooms/45136246?previous_page_section_name=1000&federated_search_id=f542776d-2a01-4ede-87dd-33844b8fb152
7,Entire serviced apartment,Washington,Relax in comfort | 1BR in Washington,3,1,No,1,1,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,NaN,NaN,110,https://www.airbnb.com/rooms/46008171?previous_page_section_name=1000&federated_search_id=f542776d-2a01-4ede-87dd-33844b8fb152
8,Private room,Washington,"Lovely room on 2nd street, nw dc",1,1,No,1,1,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.38,13,35,https://www.airbnb.com/rooms/841234?previous_page_section_name=1000&federated_search_id=f542776d-2a01-4ede-87dd-33844b8fb152
9,Entire apartment,Washington,"Tudor in the Park. A private, all-yours AirBnb.",2,1,No,1,1,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,4.96,190,96,https://www.airbnb.com/rooms/15558485?previous_page_section_name=1000&federated_search_id=f542776d-2a01-4ede-87dd-33844b8fb152
10,Private room,Washington,Master Suite by Metro/St.Es/Tourist Sites+FreePrkg,3,1,No,1,1.5,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,4.60,46,40,https://www.airbnb.com/rooms/21680786?previous_page_section_name=1000&federated_search_id=f542776d-2a01-4ede-87dd-33844b8fb152
11,Entire apartment,Washington,"1 Bedrm, 3rd Fl, Dwntn,3 blks Convention Ctr/Metro",4,1,No,2,1,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,4.93,57,64,https://www.airbnb.com/rooms/16515949?previous_page_section_name=1000&federated_search_id=f542776d-2a01-4ede-87dd-33844b8fb152
12,Private room,Washington,Cosy room in a historic building.5mn walk to metro,2,1,No,1,2,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.63,57,34,https://www.airbnb.com/rooms/24623980?previous_page_section_name=1000&federated_search_id=f542776d-2a01-4ede-87dd-33844b8fb152
13,Entire house,Washington,Capitol Hill luxury English basment,4,1,No,2,1,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,4.91,440,107,https://www.airbnb.com/rooms/3317645?previous_page_section_name=1000&federated_search_id=f542776d-2a01-4ede-87dd-33844b8fb152
14,Private room,Washington,Cozy and Clean with essentials and parking in DC,2,1,No,1,1.5,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.86,80,46,https://www.airbnb.com/rooms/24771943?previous_page_section_name=1000&federated_search_id=f542776d-2a01-4ede-87dd-33844b8fb152
15,Entire guest suite,Washington,Art-Filled English Basement in Fun Neighborhood!,4,NaN,Yes,2,1,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,4.77,236,60,https://www.airbnb.com/rooms/23111121?previous_page_section_name=1000&federated_search_id=f542776d-2a01-4ede-87dd-33844b8fb152
16,Entire apartment,Washington,Brilliant Basement near Takoma,2,NaN,Yes,1,1,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,4.92,114,55,https://www.airbnb.com/rooms/21730002?previous_page_section_name=1000&federated_search_id=f542776d-2a01-4ede-87dd-33844b8fb152
17,Entire apartment,Washington,Lovely fully furnished basement apartment for rent,2,NaN,Yes,NaN,NaN,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,NaN,NaN,68,https://www.airbnb.com/rooms/46008253?previous_page_section_name=1000&federated_search_id=f542776d-2a01-4ede-87dd-33844b8fb152
18,Private room,Washington,"Compact and Clean, 4 blocks to Metro",1,1,No,1,1,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,4.69,16,38,https://www.airbnb.com/rooms/35095359?previous_page_section_name=1000&federated_search_id=f542776d-2a01-4ede-87dd-33844b8fb152
19,Entire house,Washington,Promotional Pricing!! New 2 Bedroom Private House,4,2,No,2,1,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,4.89,74,93,https://www.airbnb.com/rooms/38045795?previous_page_section_name=1000&federated_search_id=f542776d-2a01-4ede-87dd-33844b8fb152
